feature,mean_abs_shap
cat__discharge_disposition_id_1,0.23820380821315473
num__number_inpatient,0.11741440366542347
num__age_years,0.09957954769342808
num__time_in_hospital,0.07640410667629612
cat__diag_1_grp_Circulatory,0.073283741252728
cat__diabetesMed_No,0.06299282488534759
num__num_lab_procedures,0.06067850097758479
num__num_medications,0.0573440183298018
num__number_diagnoses,0.044923370483224694
cat__diag_1_grp_Respiratory,0.03728641339674106
cat__admission_source_id_4,0.027985953827141075
cat__discharge_disposition_id_6,0.026724264325253412
cat__medical_specialty_Cardiology,0.02605007516362049
cat__discharge_disposition_id_3,0.02530189441995039
cat__medical_specialty_Orthopedics-Reconstructive,0.02427186787539136
num__number_emergency,0.022754099946435808
cat__diag_1_grp_Musculoskeletal,0.02245096323071716
cat__discharge_disposition_id_22,0.022012053030394628
cat__A1Cresult_Missing,0.021516756352298116
cat__diag_2_grp_Respiratory,0.01856784896136165
